Open5GS daemon v2.6.4-22-g93bcd7f

06/16 00:16:26.150: [app] INFO: Configuration: '/home/vagrant/open5gs/install/etc/open5gs/ausf.yaml' (../lib/app/ogs-init.c:126)
06/16 00:16:26.150: [app] INFO: File Logging: '/home/vagrant/open5gs/install/var/log/open5gs/ausf.log' (../lib/app/ogs-init.c:129)
06/16 00:16:26.152: [sbi] INFO: NF Service [nausf-auth] (../lib/sbi/context.c:1438)
06/16 01:21:22.127: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:21:22.128: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:21:24.136: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:21:24.137: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:21:26.139: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:21:26.139: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:21:28.141: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:21:28.141: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:21:30.144: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:21:30.146: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:21:32.151: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:21:32.153: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:21:34.155: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:21:34.157: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:21:36.160: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:21:36.162: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:21:38.163: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:21:38.165: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:21:40.168: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:21:40.170: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:21:42.173: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:21:42.190: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:21:44.192: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:21:44.193: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:21:46.199: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:21:46.203: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
06/16 01:21:48.204: [sbi] WARNING: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] Retry to registration with NRF (../lib/sbi/nf-sm.c:402)
06/16 01:21:48.206: [sbi] ERROR: [08631fa8-0bdb-41ee-8c1c-ad9f61f92a1c] HTTP Response Status Code [500] (../lib/sbi/nf-sm.c:151)
